#TYPE=CATEGORY
# -- note: you need to keep the header line in here!
%SAFE,%PRETTY,%SORT,%PRODUCTS,%METASTR,%LAYOUT,PAGE_TITLE,META_DESCRIPTION,META_KEYWORDS
$mac_duggal_ballgowns_2013,"Mac Duggal Ballgowns 2013",,"MACB13-2648H,MACB13-4908H,MACB13-61184H,MACB13-61192H,MACB13-61195H,MACB13-61403H,MACB13-85079H,MACB13-85122H,MACB13-85120H,MACB13-81778H,MACB13-81751H,MACB13-81746H,MACB13-81745H,MACB13-81729H,MACB13-81504H,MACB13-76418H,MACB13-6496H,MACB13-6490H,MACB13-6485H,MACB13-64330H,MACB13-64323H,MACB13-64315H,MACB13-6414H,MACB13-6374H,MACB13-6168H,MACB13-61405H,MACB13-61404H,MACB13-61401H,MACB13-61400H,MACB13-61323H,MACB13-50169H,MACB13-50155H,MACB13-4961H,MACB13-4960H,MACB13-4957H,MACB13-4951H,MACB13-4930H,MACB13-48012H,MACB13-48011H,MACB13-4759H,MACB13-42834H,MACB13-2661H,MACB13-2653H,MACB13-4729H,MACB13-4835H,MACB13-4912H,MACB13-4962H,MACB13-81491H,MACB13-81734H,MACB13-81757H,MACB13-4941H",GOO=1600
$mac_duggal_couture_2011,"Mac Duggal Couture 2012",,MACDUGGAL-3600T,GOO=1600
$mac_duggal_couture_2013,"Mac Duggal Couture 2013",,"MACCOUTURE13-1135D,MACCOUTURE13-1149D,MACCOUTURE13-1174D,MACCOUTURE13-1176D,MACCOUTURE13-1180D,MACCOUTURE13-1197D,MACDUGGAL13-55004D,MACCOUTURE13-55005D,MACCOUTURE13-78530D,MACCOUTURE13-78554D,MACCOUTURE13-78574D,MACCOUTURE13-78581D,MACCOUTURE13-78725D,MACCOUTURE13-78740D,MACCOUTURE13-78772D,MACCOUTURE13-78786D,MACCOUTURE13-85127D,MACCOUTURE13-85144D,MACCOUTURE13-85149D,MACCOUTURE13-81715D,MACCOUTURE13-78538D,MACCOUTURE13-61140D,MACCOUTURE13-61139D,MACCOUTURE13-61089D,MACCOUTURE13-55001D,MACCOUTURE13-50090D,MACCOUTURE13-3605D,MACCOUTURE13-3601D,MACCOUTURE13-1198D,MACCOUTURE13-42588D,MACCOUTURE13-81860D,MACCOUTURE13-85059D,MACCOUTURE13-61121D,MACCOUTURE13-50092D,MACCOUTURE13-50093D,MACCOUTURE13-85057D,MACCOUTURE13-50099D,MACCOUTURE13-55003D,MACCOUTURE13-78579D,MACCOUTURE13-78782D,MACCOUTURE13-80175D,MACCOUTURE13-80171D,MACCOUTURE13-80168D,MACCOUTURE13-78724D,MACCOUTURE13-78718D,MACCOUTURE13-78713D,MACCOUTURE13-78710D,MACCOUTURE13-78576D,MACCOUTURE13-6033D,MACCOUTURE13-78501D,MACCOUTURE13-78580D,MACCOUTURE13-78736D,MACCOUTURE13-80108D,MACCOUTURE13-55000D,61041R-BLACK",GOO=1600
$mac_duggal_prom_2011,"Mac Duggal Prom 2012",,,GOO=1600
$mignon_2013,"Mignon 2013",,"MIGNON13-VM443,MIGNON13-VM570,MIGNON13-VM643,MIGNON13-VM650,MIGNON13-VM774,MIGNON13-VM791,MIGNON13-VM817,MIGNON13-VM819,MIGNON13-VM819B,MIGNON13-850B,MIGNON13-864B,MIGNON13-VM889,MIGNON13-VM915,MIGNON13-VM916,MIGNON13-VM918,MIGNON13-VM926,MIGNON13-VM938,MIGNON13-VM940,MIGNON13-VM943,MIGNON13-VM944,MIGNON13-VM945,MIGNON13-VM947,MIGNON13-VM949,MIGNON13-953B,MIGNON13-VM959,MIGNON13-VM962,MIGNON13-VM965,MIGNON13-VM969,MIGNON13-VM970,MIGNON13-972B,MIGNON13-VM978,MIGNON13-VM980,MIGNON13-VM982,MIGNON13-VM984,MIGNON13-VM986,MIGNON13-VM990,MIGNON13-VM1007,MIGNON13-VM1009,MIGNON13-VM1010,MIGNON13-VM1011,MIGNON13-VM1012,MIGNON13-VM1015,MIGNON13-VM1016,MIGNON13-VM1022",GOO=1600
$mnm_2013,"MNM 2013",,",MNM13-5231,MNM13-JD011,MNM13-5425,MNM13-5686,MNM13-5761,MNM13-5832,MNM13-5860,MNM13-5908A,MNM13-6083,MNM13-6085,MNM13-6113,MNM13-6122,MNM13-6131,MNM13-6215,MNM13-6222,MNM13-6257,MNMCOUTURE13-6271,MNM13-6300,MNM13-6300W,MNM13-6314,MNM13-6434,MNM13-6435,MNM13-8328,MNM13-8181,MNM13-6854,MNM13-6469,MNM13-6486,MNM13-6405,MNM13-6628,MNM13-6637,MNM13-7017",GOO=0
$mnm_couture,"MNM Couture",NONE,"MNM-5984,MNM-5998,MNM-5648,MNM-5852,MNM-5841,MNM-5941,MNM-5897,MNM-5805,MNM-6089,MNM-5690,MNM-7705,MNM-5706,MNM-5746,MNM-5909,MNM-5691,MNM-5886,MNM-5936,MNM-5659,MNM-5666,MNM-5764,MNM-5673,MNM-5820,MNM-5783,MNM-5668,MNM-8081,MNM-9352,MNM-9376,MNM-9262,MNM-6059,MNM-9323,MNM-9329,MNM-9310,MNM-9360,MNM-9246,MNM-6060,MNM-5950,MNM-5448,MNM-5488,MNM-6072,MNM-6751,MNM-8556,MNM-8584,MNM-8636,MNM-8640,MNM-8641,MNM-9002,MNM-9322,MNM-KH0954,MNM-5766,MNM-5818,MNM-5855,MNM-5904,MNM-5968,MNM-5970,MNM-5977,MNM-5981,MNM-5983,MNM-6005,MNM-6006,MNM-6058,MNM-6061,MNM-4544,MNM-4965,MNM-5160,MNM-5431,MNM-5467,MNM-5469,MNM-5493,MNM-5594,MNM-5669,MNM-5670,MNM-5679,MNM-5705,MNM-5760,MNM-6391,MNM-6462,MNM-2679,MNM12-6090,MNM12-6313,MNM12-6486,MNM12-6673,MNM12-6450,MNM12-6405,MNM12-6411,MNM12-6558,MNM12-6634,MNM12-9330,MNM12-7731,MNM12-6414,MNM12-6428,MNM12-5841,MNM12-6284,MNM12-6143,MNM12-5654,MNM12-6209,MNM12-6221,MNM12-6225,MNM12-6235,MNM12-6514,MNM12-6632,MNM12-6670,MNM12-6406,MNM12-6285,MNM12-6462,MNM12-6495,MNM12-6587,MNM12-932N,MNM12-6089,MNM12-6240,MNM12-5686W,MNM12-6633,MNM12-6223,MNM12-6131,MNM12-7227,MNM12-9032,MNM12-6625,MNM12-6763,MNM12-6628,MNM12-6733,MNM12-9014,MNM12-7831-1,MNM12-KH-024,MNM12-KH-057,MNM12-KH-068,MNM12-KH-076,MNM12-078,MNM12-KH-080,MNM12-6892,MNM12-6855,MNM12-6661,MNM12-7006,MNM12-7208,MNM12-7213,MNM12-7246,MNM12-7247,MNM12-7294,MNM12-7310,MNM12-7373,MNM12-7416,MNM12-7417,MNM12-7491,MNM12-7449,MNM12-6748,MNM12-6867,MNM12-7165,MNM12-7017,MNM12-7178,MNM12-8081,MNM12-6539,MNM12-6637,MNM12-6886,MNM12-6804,MNM12-6902,MNM12-6952,MNM12-7251,MNM12-7429,MNM12-7611,MNM12-7662,MNM12-6825,MNM12-6687,MNM12-6807,MNM12-6783,MNM12-7497,MNM12-7615,MNM12-6602,MNM12-6869,MNM12-6682,MNM13-5686,MNM13-5761,MNM13-5832,MNM13-5860,MNM13-5908A,MNM13-6083,MNM13-6085,MNM13-6122,MNM13-6215,MNM13-6222,MNM13-6257,MNM13-6434,MNM13-6435,MNM13-6497",GOO=1600
.new_arrivals,"New Arrivals",NONE,"FAVIANAFALL12-S7015,FAVIANAFALL12-S7008,FAVIANAFALL12-S7007,FAVIANAFALL12-S7006,SCALAFALL12-Q4145,SCALAFALL12-Q4121,SCALAFALL12-Q4109,SCALAFALL12-Q1046,SCALAFALL12-28085,SCALAFALL12-F27029,SCALAFALL12-F22149,SCALAFALL12-47494,SCALAFALL12-47493,SCALAFALL12-47492,SCALAFALL12-47484,SCALAFALL12-47483,SCALAFALL12-47482,SCALAFALL12-47480,SCALAFALL12-47475,SCALAFALL12-47467,SCALAFALL12-47469,SCALAFALL12-47464,SCALAFALL12-47466,SCALAFALL12-47460,SCALAFALL12-47449,SCALAFALL12-47448,SCALAFALL12-47446,SCALAFALL12-47444,SCALAFALL12-47441,SCALAFALL12-47435,SCALAFALL12-47434,SCALAFALL12-47431,SCALAFALL12-47430,SCALAFALL12-47428,SCALAFALL12-47427,SCALAFALL12-14325,SCALAFALL12-14324,SCALAFALL12-14323,SCALAFALL12-14322,SCALAFALL12-14321,SCALAFALL12-14320,SCALAFALL12-14319,SCALAFALL12-14316,SCALAFALL12-14315,SCALAFALL12-14313,SCALAFALL12-14312,SCALAFALL12-14311,SCALAFALL12-14310,FAVIANAFALL12-S7011,SCALAFALL12-14260,FAVIANAFALL12-S7039,SCALAFALL12-4012,FAVIANAFALL12-S7005,JASZFALL12-4733,JASZFALL12-4720,JASZFALL12-4719,JASZFALL12-4708,JASZFALL12-4706,JASZFALL12-4702,SHERRIFALL12-4700,JASZFALL12-4403,SHERRIFALL12-3843,SHERRIFALL12-2964,SHERRIFALL12-2963,SHERRIFALL12-2961,SHERRIFALL12-2948,SHERRIFALL12-2801,SHERRIFALL12-2796,SHERRIFALL12-2781,SHERRIFALL12-2777,SHERRIFALL12-2771,FAVIANAFALL12-S7014,FAVIANAFALL12-S6842,FAVIANAFALL12-S6843,FAVIANAFALL12-S6849,FAVIANAFALL12-S6850,FAVIANAFALL12-S6851,FAVIANAFALL12-S6854,FAVIANAFALL12-S6855,FAVIANAFALL12-S6857,FAVIANAFALL12-S6860,FAVIANAFALL12-S6985,FAVIANAFALL12-S6995,FAVIANAFALL12-S6998,FAVIANAFALL12-S7016,FAVIANAFALL12-S7019,FAVIANAFALL12-S7021,FAVIANAFALL12-S7023,SHERRIHILL13-2841,SHERRIHILL13-2932,SHERRIHILL13-3835,SCALA13-47438,SHERRIFALL13-2814,SHERRIFALL13-2933,SHERRIFALL13-2941,SHERRIFALL13-2960,SHERRIFALL13-8413,SHERRIFALL13-8437",GOO=1600,~onlineformals_c_featprods_20100927,,,
$new_list,"New List",NONE,"LAFEMME13-18525,NIGHTMOVES13-6611,MAC13-42660M,CASSANDRA13-6373ARED,NIGHTMOVES13-6679,MAC13-64402M,LAFEMME13-18465,TERANI13-P1560,TERANI13-P1575,LAFEMME13-18646,LAFEMMEEVE13-18951,LAFEMME13-18332CORAL",GOO=0
$new_year_s_eve_dresses_in_stock,"New Year's Eve Dresses In Stock",NONE,"INSTOCK-28067,INSTOCK-P677PINK,INSTOCK-P677AQUA,INSTOCK-47255,INSTOCK-2912,INSTOCK-2912FUSCHSIA,INSTOCK-2782,INSTOCK-2892LILAC,INSTOCK-1043AQUA,INSTOCK-1002GP,INSTOCK-1002WHITE,INSTOCK-6614,INSTOCK-158541,INSTOCK-15803,INSTOCK-KK3151,INSTOCK-2771,INSTOCK-2781,INSTOCK-2503,INSTOCK-6240,INSTOCK-6240RED,INSTOCK-158332,INSTOCK-7749,INSTOCK-2328,INSTOCK-2431,INSTOCK-2220,INSTOCK-2412,INSTOCK-2412BLACK,INSTOCK-16859,INSTOCK-17134,INSTOCK-S4247,INSTOCK-2220PR",GOO=1600
$night_moves_2011,"Night Moves 2012",,"NIGHT12-6200,NIGHT12-6203,NIGHT12-6207,NIGHT12-6400,NIGHT12-6404,NIGHT12-6406,NIGHT12-6410,NIGHT12-6411,NIGHT12-6416,NIGHT12-6417,NIGHT12-6418,NIGHT12-6423,NIGHT12-6425,NIGHT12-6426,NIGHT12-6429,NIGHT12-6433,NIGHT12-6435,NIGHT12-6436,NIGHT12-6438,NIGHT12-6444,NIGHT12-6450,NIGHT12-6451,NIGHT12-6453,NIGHT12-6455,NIGHT12-6457,NIGHT12-6464,NIGHT12-6467,NIGHT12-6469,NIGHT12-6471,NIGHT12-6473,NIGHT12-6486,NIGHT12-6487,NIGHT12-6489,NIGHT12-6491,NIGHT12-6494,NIGHT12-6496,NIGHT12-6498,NIGHT12-6499,NIGHTPLUS-6509W,NIGHTMOVES13-6622",GOO=1600
$night_moves_plus_size,"Night Moves Plus Size",,"NIGHTPLUS-6357W,NIGHTPLUS-6376W,NIGHTPLUS-6500W,NIGHTPLUS-6501W,NIGHTPLUS-6502W,NIGHTPLUS-6503W,NIGHTPLUS-6505W,NIGHTPLUS-6508W,NIGHTPLUS-6518W",GOO=1600
.pageant,!Pageant,,,,
.pageant.children_s_pageant,"!Children's Pageant",,,,
.pageant.designers,!Designers,,,,
.pageant.designers.jasz_couture,"!Jasz Couture",,,,
.pageant.designers.johnathan_kayne,"!Johnathan Kayne",,,,
.pageant.designers.jovani,!Jovani,,,,
.pageant.designers.la_femme,"!La Femme",,,,
.pageant.designers.mac_duggal,"!Mac Duggal",,,,
.pageant.designers.mnm_couture,"!MNM Couture",,,,
.pageant.designers.tony_bowls,"!Tony Bowls",,,,
$paris_2013,"Paris 2013",,"PARIS13-113701,PARIS13-113702,PARIS13-113700,PARIS13-113703,PARIS13-113704,PARIS13-113705,PARIS13-113706,PARIS13-113707A,PARIS13-11307B,PARIS13-113708,PARIS13-113709,PARIS13-113710A,PARIS13-113710B,PARIS13-113711,PARIS13-113712,PARIS13-113713,PARIS13-113714,PARIS13-113721,PARIS13-113722,PARIS13-113725,PARIS13-113726,PARIS13-113728,PARIS13-113731,PARIS13-113732,PARIS13-113735,PARIS13-113736,PARIS13-113733,PARIS13-113730,PARIS13-113724,PARIS13-113720,PARIS13-113719,PARIS13-113718,PARIS13-113716B,PARIS13-113716A,PARIS13-113737,PARIS13-113715,PARIS13-113738,PARIS13-113717,PARIS13-113739,PARIS13-113723A,PARIS13-113740,PARIS13-113723B,PARIS13-113727,PARIS13-113741,PARIS13-113729,PARIS13-113742,PARIS13-113734,PARIS13-113743,PARIS13-113744,PARIS13-113745,PARIS13-113746,PARIS13-113749,PARIS13-113752,PARIS13-113754,PARIS13-113755,PARIS13-113758,PARIS13-113757,PARIS13-113756,PARIS13-113753,PARIS13-113751,PARIS13-113750,PARIS13-113747B,PARIS13-113747A",GOO=1600
.plus_size,"!Plus Size",,,,
.plus_size.designers,!Designers,,,,
.plus_size.designers.fabulouss,!Fabulouss,,,,
.plus_size.designers.faviana,!Faviana,,,,
.plus_size.designers.night_moves,"!Night Moves",,,,
.plus_size.styles,!Styles,,,,
.plus_size.styles.a_line___ballgown,"!A Line & Ballgown",,,,
.plus_size.styles.empire,!Empire,,,,
.plus_size.styles.mermaid,!Mermaid,,,,
.plus_size.styles.short,!Short,,,,
$prom_2011_best_sellers,"Prom 2011 Best Sellers",NONE,"TERANI-ZP179,LAFEMME11-Z16582,LAFEMME11-15933,JOVANI11-9219,JOVANI11-Z158934A,JOVANI11-Z1770,LAFEMME11-15914,JOVANI11-153050,EXCHANGE_FEE",GOO=1600
.prom9,!Prom,,,,
.prom9.designers,!Designers,,,,
.prom9.designers.bg_haute,"!BG Haute",,,,
.prom9.designers.cassandra_stone,"!Cassandra Stone",,,,
.prom9.designers.faviana,!Faviana,,,,
.prom9.designers.gigi,!Gigi,,,,
.prom9.designers.jasz_couture,"!Jasz Couture",,,,
.prom9.designers.johnathan_kayne,"!Johnathan Kayne",,,,
.prom9.designers.jovani,!Jovani,,,,
.prom9.designers.la_femme,"!La Femme",,,,
.prom9.designers.le_gala,"!Le Gala",,,,
.prom9.designers.lm_collection,"!LM Collection",,,,
.prom9.designers.mac_duggal,"!Mac Duggal",,,,
.prom9.designers.mignon,!Mignon,,,,
.prom9.designers.mnm_couture,"!MNM Couture",,,,
.prom9.designers.night_moves,"!Night Moves",,,,
.prom9.designers.paris,!Paris,,,,
.prom9.designers.scala,!Scala,,,,
.prom9.designers.shail_k,"!Shail K",,,,
.prom9.designers.sherri_hill,"!Sherri Hill",,,,
.prom9.designers.tony_bowls,"!Tony Bowls",,,,
.prom9.styles,!Styles,,,,
.prom9.styles.ballgown___a_line,"!Ballgown & A Line",,,,
.prom9.styles.empire,!Empire,,,,
.prom9.styles.high_low,"!High Low",,,,
.prom9.styles.mermaid,!Mermaid,,,,
.prom9.styles.short,!Short,,,,
.prom9.trends,!Trends,,,,
.prom9.trends.beads,!Beads,,,,
.prom9.trends.lace,!Lace,,,,
.prom9.trends.polka_dots,"!Polka Dots",,,,
.prom9.trends.sequins,!Sequins,,,,
.prom9.trends.vintage,!Vintage,,,,
$quick_ship,"Quick Ship",,"INSTOCK-1799FUCHSIA,INSTOCK-6000,INSTOCK-6614",GOO=1600
$related_product_list,"Related Product LIst",,"JULIEFRANCE-JF004,JULIEFRANCE-JF013",GOO=1600
.savings_and_promotions,"Savings and Promotions",,,GOO=1600,1001,"Onlineformals.com Coupon Codes","Savings and Promotions at Onlineformals.  Get your coupon code here.","Onlineformals, Coupon, Codes, Discounts, Promotions, Sale, Clearance"
$scala_2011,"Scala 2011",,"SCALA11-P17054,SCALA11-P17055",GOO=1600
$scala_2012,"Scala 2012",,"SCALA12-Q1028,SCALA12-Q1029,SCALA12-Q1031,SCALA12-Q1032,SCALA12-Q1033,SCALA12-Q1035,SCALA12-Q1036,SCALA12-Q1037,SCALA12-Q1041,SCALA12-Q1040,SCALA12-Q1044,SCALA12-Q1045,SCALA12-Q12028,SCALA12-Q12029,SCALA12-Q12030,SCALA12-Q12031,SCALA12-Q12032,SCALA12-Q12033,SCALA12-Q17077,SCALA12-Q17088,SCALA12-Q4102,SCALA12-Q4104,SCALA12-Q4110,SCALA12-Q4113,SCALA12-Q4114,SCALA12-Q4115,SCALA12-Q4119,LAFEMME12-17721,SCALA12-Q4120,SCALA12-Q4122,SCALA12-Q4123,SCALA12-Q4125,SCALA12-Q4126,SCALA12-Q4127,SCALA12-Q4128,SCALA12-Q4129,SCALA12-Q4132,SCALA12-Q4134,SCALA12-Q4130,SCALA12-Q4135,SCALA12-M15119,SCALAFALL12-47428",GOO=1600
$scala_2013,"Scala 2013",NONE,"SCALA13-47526,SCALA13-47550,SHERRIHILL13-11025,SCALA13-47488,SCALA13-47513,SCALA13-47514,SCALA13-47511,SCALA13-47520,SCALA13-47525,SCALA13-47527,SCALA13-46533,SCALA13-47541,SCALA13-47542,SCALA13-47547,SCALA13-47549,SCALA13-47554,SCALA13-47555,SCALA13-47560,SCALA13-47561,SCALA13-P4043,SCALA13-Q4103,SCALAFALL12-47439,SCALA13-47485,SCALA13-47509,SCALA13-47510,SCALA13-47512,SCALA13-47519,SCALA13-47521,SCALA13-47523,SCALA13-47528,SCALA13-47532,SCALA13-47536,SCALA13-47538,SCALA13-47540,SCALA-47543,SCALA13-47544,SCALA13-47546,SCALA13-47551,SCALA13-47558,SCALA13-Q4109,SCALA13-Q4116,SCALA13-Q4124,SCALA13-Q4150",GOO=1600
$shail_k,"Shail K",,"SHAILK-KK3106,SHAILK-KK3108,SHAILK-KK3109,SHAILK-KK3114,SHAILK-KK3315,SHAILK-KK3118,SHAILK-KK3120,SHAILK-KK3121,SHAILK-KK3136,SHAILK-KK3137,SHAILK-KK3141,SHAILK-KK3142,SHAILK-3143,SHAILK-KK3146,SHAILK-KK3147,SHAILK-KK3148,SHAILK-KK3149,SHAILK-KK3151,SHAILK-KK3154,SHAILK-KK3155,SHAILK-KK3156,SHAILK-KK3163,SHAILK-KK3710,SHAILK-KK3803,SHAILK-KK3804,SHAILK-KK3810,SHAILK-KK3814,SHAIL13-KK3133K,SHAIL13-KK3158L,SHAIL13-KK3162,SHAIL13-SK3165L,SHAIL13-SK3166L,SHAIL13-SK3167L,SHAIL13-SK3168L,SHAIL13-SK3169L,SHAIL13-SK3170L,SHAIL13-SK3173L,SHAIL13-SK3174L,SHAIL13-SK3175K,SHAIL13-SK3181L,SHAIL13-SK3182L,SHAIL13-SK3190L,SHAIL13-SK3192L,SHAIL13-SK3194L,SHAIL13-SK3505L,SHAIL13-3506L,SHAIL13-3610L,SHAIL13-SK3613L,SHAIL13-SK3711,SHAIL13-SK3712L,SHAIL13-3817L,SHAIL13-3817S,SHAIL13-3819L,SHAIL13-3820L,SHAIL13-SK3822L,SHAIL13-SK3824L,SHAIL13-3826L,SHAIL13-SK3829L,SHAIL13-3830L,SHAIL13-SK3831L,SHAIL13-SK3834L,SHAIL13-3836L,SHAILKFALL13-KK3110,SHAILKFALL13-KK3138,SHAILKFALL13-KK3157,SHAILKFALL13-KL3201,SHAILKFALL13-KL3202,SHAILKFALL13-KL3203,SHAILKFALL13-KL3204,SHAILKFALL13-KL3206,SHAILKFALL13-KL3207,SHAILKFALL13-KL3209,SHAILKFALL13-KL3210,SHAILKFALL13-KL3211,SHAILKFALL13-KL3212,SHAILKFALL13-KL3214,SHAILKFALL13-KL3216,SHAILKFALL13-KL3217,SHAILKFALL13-KL3218",GOO=1600
$sherri_hill_2012,"Sherri Hill 2012",NONE,"SHERRI12-Z2892,SHERRI12-1429,SHERRI12-1434,SHERRI12-1435,SHERRI12-1453,SHERRI12-1495,SHERRI12-1520,SHERI12-1526,SHERRI12-1602,SHERRI12-2329,SHERRI12-2753,SHERRI12-2763,SHERRI12-2797,SHERRI12-2808,SHERRI12-2815,SHERRI12-2900,SHERRI12-2926,FAVIANA12-6900,SHERRI12-3834,SHERRI12-3845,SHERRI12-3846,SHERRI12-8430,SHERRI12-8431,SHERRI12-8433,SHERRI12-8442,SCALA12-Q4105,SCALA12-4118,SHERRI12-2908,SHERRI12-2904,SHERRIHILL12-Z2912,SHERRIHILL12-8422,SHERRIHILL12-2891,SHERRIHILL12-2782,SHERRI12-2900PARIS,SHERRIFALL12-2771,SHERRIFALL12-2777,SHERRIFALL12-2781,SHERRIFALL12-2796,SHERRIFALL12-2801,SHERRIFALL12-2915,SHERRIFALL12-3843,SHERRIHILL13-1463,SHERRIFALL13-1403,SHERRIFALL13-1600,SHERRIFALL13-2840,SHERRIFALL13-8413",GOO=1600
$sherri_hill_2013,"Sherri Hill 2013",NONE,"SHERRIHILL13-1570,SHERRIFALL12-2845,SHERRIHILL13-21114,SHERRIHILL13-1531,SHERRI-2814BELLA,SHERRIHILL13-1586,SHERRIFALL12-3843,SHERRIHILL13-21041,SHERRIFALL12-2801,SHERRIHILL13-2920,SHERRIHILL13-3848,SHERRIHILL13-2974,SHERRIHILL13-2981,SHERRI12-1453,SHERRIHILL13-1597,SHERRIFALL12-2963,SHERRIHILL13-2970,SHERRIHILL13-1592,SHERRIHILL13-21097,SHERRI12-2763,SHERRIHILL13-21104,SHERRIHILL13-21050,SHERRIHILL13-1543,SHERRIHILL13-1537,SHERRIHILL13-1538,SHERRIHILL13-1460,SHERRIHILL13-1541,SHERRIHILL13-1544,SHERRIHILL13-1547,SHERRIHILL13-1548,SHERRIHILL13-1550,SHERRIHILL13-1553,SHERRIHILL13-1554,SHERRIHILL13-1555,SHERRIHILL13-1559,SHERRIHILL13-1566,SHERRIHILL13-1568,SHERRIHILL13-1569,SHERRIHILL13-1572,SHERRIHILL13-1577,SHERRIHILL13-1579,SHERRIHILL13-1581,SHERRIHILL13-1583,SHERRIHILL13-21132,SHERRIHILL13-21133,SHERRIHILL13-21134,SHERRIHILL13-21139,SHERRIHILL13-21143,SHERRIHILL13-21144,SHERRIHILL13-21149,SHERRIHILL13-21150,SHERRIHILL13-21151,SHERRIHILL13-1594,SHERRIHILL13-1595,SHERRIHILL13-21153,SHERRIHILL13-21155,SHERRIHILL13-21160,SHERRIHILL13-21161,SHERRIHILL13-21163,SHERRIHILL13-21166,SHERRIHILL13-21071,SHERRIHILL13-1615,SHERRIHILL13-21074,SHERRIHILL13-21075,SHERRIHILL13-21077,SHERRIHILL13-21081,SHERRIHILL13-21083,SHERRIHILL13-21085,SHERRIHILL13-21091,SHERRIHILL13-21096,SHERRIHILL13-21099,SHERRIHILL13-1905,SHERRIHILL13-21102,SHERRIHILL13-21103,SHERRIHILL13-21108,SHERRIHILL13-2787,SHERRIHILL13-21111,SHERRIHILL13-2841,SHERRIHILL13-21115,SHERRIHILL13-21117,SHERRIHILL13-21121,SHERRIHILL13-21127,SHERRIHILL13-21128,SHERRIHILL13-21023,SHERRIHILL13-21026,SHERRIHILL13-21027,SHERRIHILL13-21029,SHERRIHILL13-2864,SHERRIHILL13-2896,SHERRIHILL13-2907,SHERRIHILL13-2932,SHERRIFALL12-2949,SHERRIFALL12-2950,SHERRIHILL13-2972,SHERRIHILL13-2973,SHERRIHILL13-2975,SHERRIHILL13-2976,SHERRIHILL13-2977,SHERRIHILL13-2979,SHERRIHILL13-2985,SHERRIHILL13-3835,SHERRIHILL13-3853,SHERRIHILL13-3864,SHERRIHILL13-3866,SHERRIHILL13-3870,SHERRIHILL13-3873,SHERRIHILL13-8501,SHERRIHILL13-8502,SHERRIHILL13-8503,SHERRIHILL13-8506,SHERRIHILL13-8510,SHERRIHILL13-8512,SHERRIHILL13-8515,SHERRIHILL13-11002,SHERRIHILL13-11003,SHERRIHILL13-11004,SHERRIHILL13-11005,SHERRIHILL13-11006,SHERRIHILL13-11007,SHERRIHILL13-11009,SHERRIHILL13-21030,SHERRIHILL13-11014,SHERRIHILL13-11017,SHERRIHILL13-21033,SHERRIHILL12-11018,SHERRIHILL13-21034,SHERRIHILL13-11019,SHERRIHILL13-11020,SHERRIHILL13-11023,SHERRIHILL13-21038,SHERRIHILL13-21001,SHERRIHILL13-21042,SHERRIHILL13-21044,SHERRIHILL13-21046,SHERRIHILL13-21003,SHERRIHILL13-21005,SHERRIHILL13-21006,SHERRIHILL13-21007,SHERRIHILL13-21008,SHERRIHILL13-21012,SHERRIHILL13-21015,SHERRIHILL13-21020,SHERRIHILL13-21054,SHERRIHILL13-21055,SHERRIHILL13-21056,SHERRIHILL13-21057,SHERRIHILL13-21059,SHERRIHILL13-21062,SHERRIHILL13-21064,SCALA13-47929,SHERRIHILL13-1596,SHERRIFALL13-1403,SHERRIFALL13-1456,SHERRIFALL13-1539,SHERRIFALL13-1591,SHERRIFALL13-1600,SHERRIFALL13-1900,SHERRIFALL13-2220,SHERRIFALL13-2415,SHERRIFALL13-2463,SHERRIFALL13-2789,SHERRIFALL13-2813,SHERRIFALL13-2814,SHERRIFALL13-2934,SHERRIFALL13-8443,SHERRIFALL13-3836,SHERRIFALL13-2941,SHERRIFALL13-2944,SHERRIFALL13-2957,SHERRIFALL13-2984,SHERRIFALL13-3802,SHERRIFALL13-3859,SHERRIFALL13-3862,SHERRIFALL13-3867,SHERRIFALL13-3869,SHERRIFALL13-3874,SHERRIFALL13-8300,SHERRIFALL13-8413,SHERRIFALL13-8437,SHERRIFALL13-8509,SHERRIFALL13-8513,SHERRIFALL13-8514,SHERRIFALL13-8516,SHERRIFALL13-1540,SHERRIFALL13-11022,SHERRIFALL13-21002,SHERRIFALL13-21010,SHERRIFALL13-21014,SHERRIFALL13-21016,SHERRIFALL13-21017,SHERRIFALL13-21019,SHERRIFALL13-21025,SHERRIFALL13-21028,SHERRIFALL13-21032,SHERRIFALL13-21035,SHERRIFALL13-21036,SHERRIFALL13-21045,SHERRIFALL13-21051,SHERRIFALL13-21053,SHERRIFALL13-21058,SHERRIFALL13-21073,SHERRIFALL13-21084,SHERRIFALL13-21101,SHERRIFALL13-21110,SHERRIFALL13-21129,SHERRIFALL13-21131,SHERRIFALL13-21147,SHERRIFALL13-21154,SHERRIFALL13-21156,SHERRIFALL13-21157,SHERRIFALL13-21158,SHERRIFALL13-21167,SHERRIFALL13-21168,SHERRIFALL13-21170,SHERRIFALL13-21171",GOO=1600
.shop_accessories,"Shop Accessories",,,GOO=1600,
